DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE (R$)
1990-01-01,BM12_PIB12,1990-01-01T00:00:00-02:00,1,1,1990,0.2
1990-02-01,BM12_PIB12,1990-02-01T00:00:00-02:00,1,2,1990,0.4
1990-03-01,BM12_PIB12,1990-03-01T00:00:00-03:00,1,3,1990,0.8
1990-04-01,BM12_PIB12,1990-04-01T00:00:00-03:00,1,4,1990,0.7
1990-05-01,BM12_PIB12,1990-05-01T00:00:00-03:00,1,5,1990,0.8
1990-06-01,BM12_PIB12,1990-06-01T00:00:00-03:00,1,6,1990,0.8
1990-07-01,BM12_PIB12,1990-07-01T00:00:00-03:00,1,7,1990,0.9
1990-08-01,BM12_PIB12,1990-08-01T00:00:00-03:00,1,8,1990,1.0
1990-09-01,BM12_PIB12,1990-09-01T00:00:00-03:00,1,9,1990,1.1
1990-10-01,BM12_PIB12,1990-10-01T00:00:00-03:00,1,10,1990,1.4
1990-11-01,BM12_PIB12,1990-11-01T00:00:00-03:00,1,11,1990,1.7
1990-12-01,BM12_PIB12,1990-12-01T00:00:00-02:00,1,12,1990,1.8
1991-01-01,BM12_PIB12,1991-01-01T00:00:00-02:00,1,1,1991,2.1
1991-02-01,BM12_PIB12,1991-02-01T00:00:00-02:00,1,2,1991,2.4
1991-03-01,BM12_PIB12,1991-03-01T00:00:00-03:00,1,3,1991,2.5
1991-04-01,BM12_PIB12,1991-04-01T00:00:00-03:00,1,4,1991,3.1
1991-05-01,BM12_PIB12,1991-05-01T00:00:00-03:00,1,5,1991,3.6
1991-06-01,BM12_PIB12,1991-06-01T00:00:00-03:00,1,6,1991,4.1
1991-07-01,BM12_PIB12,1991-07-01T00:00:00-03:00,1,7,1991,4.6
1991-08-01,BM12_PIB12,1991-08-01T00:00:00-03:00,1,8,1991,5.3
1991-09-01,BM12_PIB12,1991-09-01T00:00:00-03:00,1,9,1991,5.6
1991-10-01,BM12_PIB12,1991-10-01T00:00:00-03:00,1,10,1991,7.5
1991-11-01,BM12_PIB12,1991-11-01T00:00:00-03:00,1,11,1991,9.2
1991-12-01,BM12_PIB12,1991-12-01T00:00:00-02:00,1,12,1991,10.5
1992-01-01,BM12_PIB12,1992-01-01T00:00:00-02:00,1,1,1992,13.1
1992-02-01,BM12_PIB12,1992-02-01T00:00:00-02:00,1,2,1992,16.3
1992-03-01,BM12_PIB12,1992-03-01T00:00:00-03:00,1,3,1992,19.6
1992-04-01,BM12_PIB12,1992-04-01T00:00:00-03:00,1,4,1992,23.6
1992-05-01,BM12_PIB12,1992-05-01T00:00:00-03:00,1,5,1992,30.1
1992-06-01,BM12_PIB12,1992-06-01T00:00:00-03:00,1,6,1992,37.5
1992-07-01,BM12_PIB12,1992-07-01T00:00:00-03:00,1,7,1992,46.1
1992-08-01,BM12_PIB12,1992-08-01T00:00:00-03:00,1,8,1992,56.7
1992-09-01,BM12_PIB12,1992-09-01T00:00:00-03:00,1,9,1992,70.8
1992-10-01,BM12_PIB12,1992-10-01T00:00:00-03:00,1,10,1992,89.0
1992-11-01,BM12_PIB12,1992-11-01T00:00:00-03:00,1,11,1992,110.4
1992-12-01,BM12_PIB12,1992-12-01T00:00:00-02:00,1,12,1992,127.7
1993-01-01,BM12_PIB12,1993-01-01T00:00:00-02:00,1,1,1993,164.0
1993-02-01,BM12_PIB12,1993-02-01T00:00:00-02:00,1,2,1993,206.9
1993-03-01,BM12_PIB12,1993-03-01T00:00:00-03:00,1,3,1993,294.6
1993-04-01,BM12_PIB12,1993-04-01T00:00:00-03:00,1,4,1993,368.1
1993-05-01,BM12_PIB12,1993-05-01T00:00:00-03:00,1,5,1993,481.6
1993-06-01,BM12_PIB12,1993-06-01T00:00:00-03:00,1,6,1993,613.5
1993-07-01,BM12_PIB12,1993-07-01T00:00:00-03:00,1,7,1993,841.4
1993-08-01,BM12_PIB12,1993-08-01T00:00:00-03:00,1,8,1993,1149.5
1993-09-01,BM12_PIB12,1993-09-01T00:00:00-03:00,1,9,1993,1578.4
1993-10-01,BM12_PIB12,1993-10-01T00:00:00-03:00,1,10,1993,2071.3
1993-11-01,BM12_PIB12,1993-11-01T00:00:00-03:00,1,11,1993,2792.8
1993-12-01,BM12_PIB12,1993-12-01T00:00:00-02:00,1,12,1993,3534.9
1994-01-01,BM12_PIB12,1994-01-01T00:00:00-02:00,1,1,1994,4562.8
1994-02-01,BM12_PIB12,1994-02-01T00:00:00-02:00,1,2,1994,5793.0
