DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE ((% a.a.))
1980-01-01,PAN12_IPCAG12,1980-01-01T00:00:00-02:00,1,1,1980,115.700656550318
1980-02-01,PAN12_IPCAG12,1980-02-01T00:00:00-02:00,1,2,1980,71.8791122833128
1980-03-01,PAN12_IPCAG12,1980-03-01T00:00:00-03:00,1,3,1980,102.095868890153
1980-04-01,PAN12_IPCAG12,1980-04-01T00:00:00-03:00,1,4,1980,85.5466641667551
1980-05-01,PAN12_IPCAG12,1980-05-01T00:00:00-03:00,1,5,1980,94.5512329908305
1980-06-01,PAN12_IPCAG12,1980-06-01T00:00:00-03:00,1,6,1980,85.9529059847616
1980-07-01,PAN12_IPCAG12,1980-07-01T00:00:00-03:00,1,7,1980,91.1094638597538
1980-08-01,PAN12_IPCAG12,1980-08-01T00:00:00-03:00,1,8,1980,78.4719408055755
1980-09-01,PAN12_IPCAG12,1980-09-01T00:00:00-03:00,1,9,1980,64.4103367316187
1980-10-01,PAN12_IPCAG12,1980-10-01T00:00:00-03:00,1,10,1980,196.512325698342
1980-11-01,PAN12_IPCAG12,1980-11-01T00:00:00-03:00,1,11,1980,117.105929448408
1980-12-01,PAN12_IPCAG12,1980-12-01T00:00:00-02:00,1,12,1980,115.662651927259
1981-01-01,PAN12_IPCAG12,1981-01-01T00:00:00-02:00,1,1,1981,121.149084525199
1981-02-01,PAN12_IPCAG12,1981-02-01T00:00:00-02:00,1,2,1981,110.550284526558
1981-03-01,PAN12_IPCAG12,1981-03-01T00:00:00-03:00,1,3,1981,79.0066466669911
1981-04-01,PAN12_IPCAG12,1981-04-01T00:00:00-03:00,1,4,1981,112.001393201137
1981-05-01,PAN12_IPCAG12,1981-05-01T00:00:00-03:00,1,5,1981,91.4127478717323
1981-06-01,PAN12_IPCAG12,1981-06-01T00:00:00-03:00,1,6,1981,90.5056744495448
1981-07-01,PAN12_IPCAG12,1981-07-01T00:00:00-03:00,1,7,1981,107.125087957116
1981-08-01,PAN12_IPCAG12,1981-08-01T00:00:00-03:00,1,8,1981,90.0298541458239
1981-09-01,PAN12_IPCAG12,1981-09-01T00:00:00-03:00,1,9,1981,84.92854618222
1981-10-01,PAN12_IPCAG12,1981-10-01T00:00:00-03:00,1,10,1981,81.1838849153973
1981-11-01,PAN12_IPCAG12,1981-11-01T00:00:00-03:00,1,11,1981,85.2390694053825
1981-12-01,PAN12_IPCAG12,1981-12-01T00:00:00-02:00,1,12,1981,99.527093870419
1982-01-01,PAN12_IPCAG12,1982-01-01T00:00:00-02:00,1,1,1982,124.33426124185
1982-02-01,PAN12_IPCAG12,1982-02-01T00:00:00-02:00,1,2,1982,116.212148973271
1982-03-01,PAN12_IPCAG12,1982-03-01T00:00:00-03:00,1,3,1982,94.7693297560852
1982-04-01,PAN12_IPCAG12,1982-04-01T00:00:00-03:00,1,4,1982,98.6680407286886
1982-05-01,PAN12_IPCAG12,1982-05-01T00:00:00-03:00,1,5,1982,116.744336724702
1982-06-01,PAN12_IPCAG12,1982-06-01T00:00:00-03:00,1,6,1982,127.883479601128
1982-07-01,PAN12_IPCAG12,1982-07-01T00:00:00-03:00,1,7,1982,109.526169460884
1982-08-01,PAN12_IPCAG12,1982-08-01T00:00:00-03:00,1,8,1982,100.602379819245
1982-09-01,PAN12_IPCAG12,1982-09-01T00:00:00-03:00,1,9,1982,81.2398357589219
1982-10-01,PAN12_IPCAG12,1982-10-01T00:00:00-03:00,1,10,1982,68.4701508694999
1982-11-01,PAN12_IPCAG12,1982-11-01T00:00:00-03:00,1,11,1982,85.5961671788828
1982-12-01,PAN12_IPCAG12,1982-12-01T00:00:00-02:00,1,12,1982,146.439953042318
1983-01-01,PAN12_IPCAG12,1983-01-01T00:00:00-02:00,1,1,1983,170.352173722347
1983-02-01,PAN12_IPCAG12,1983-02-01T00:00:00-02:00,1,2,1983,147.876446522846
1983-03-01,PAN12_IPCAG12,1983-03-01T00:00:00-03:00,1,3,1983,134.085505726293
1983-04-01,PAN12_IPCAG12,1983-04-01T00:00:00-03:00,1,4,1983,114.818828408765
1983-05-01,PAN12_IPCAG12,1983-05-01T00:00:00-03:00,1,5,1983,112.501175913873
1983-06-01,PAN12_IPCAG12,1983-06-01T00:00:00-03:00,1,6,1983,209.77066590704
1983-07-01,PAN12_IPCAG12,1983-07-01T00:00:00-03:00,1,7,1983,216.538926432864
1983-08-01,PAN12_IPCAG12,1983-08-01T00:00:00-03:00,1,8,1983,184.729563283862
1983-09-01,PAN12_IPCAG12,1983-09-01T00:00:00-03:00,1,9,1983,224.290743142377
1983-10-01,PAN12_IPCAG12,1983-10-01T00:00:00-03:00,1,10,1983,177.16190455894
1983-11-01,PAN12_IPCAG12,1983-11-01T00:00:00-03:00,1,11,1983,135.118407888002
1983-12-01,PAN12_IPCAG12,1983-12-01T00:00:00-02:00,1,12,1983,171.429126359198
1984-01-01,PAN12_IPCAG12,1984-01-01T00:00:00-02:00,1,1,1984,202.693904764425
1984-02-01,PAN12_IPCAG12,1984-02-01T00:00:00-02:00,1,2,1984,197.169702391358
1984-03-01,PAN12_IPCAG12,1984-03-01T00:00:00-03:00,1,3,1984,179.369510069795
1984-04-01,PAN12_IPCAG12,1984-04-01T00:00:00-03:00,1,4,1984,198.548856153859
1984-05-01,PAN12_IPCAG12,1984-05-01T00:00:00-03:00,1,5,1984,182.825602914873
1984-06-01,PAN12_IPCAG12,1984-06-01T00:00:00-03:00,1,6,1984,216.599254216499
