DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE ((% a.m.))
2000-05-01,PRECOS12_IPCA15G12,2000-05-01T00:00:00-03:00,1,5,2000,0.09
2000-06-01,PRECOS12_IPCA15G12,2000-06-01T00:00:00-03:00,1,6,2000,0.08
2000-07-01,PRECOS12_IPCA15G12,2000-07-01T00:00:00-03:00,1,7,2000,0.78
2000-08-01,PRECOS12_IPCA15G12,2000-08-01T00:00:00-03:00,1,8,2000,1.99
2000-09-01,PRECOS12_IPCA15G12,2000-09-01T00:00:00-03:00,1,9,2000,0.45
2000-10-01,PRECOS12_IPCA15G12,2000-10-01T00:00:00-03:00,1,10,2000,0.18
2000-11-01,PRECOS12_IPCA15G12,2000-11-01T00:00:00-03:00,1,11,2000,0.17
2000-12-01,PRECOS12_IPCA15G12,2000-12-01T00:00:00-02:00,1,12,2000,0.6
2001-01-01,PRECOS12_IPCA15G12,2001-01-01T00:00:00-02:00,1,1,2001,0.63
2001-02-01,PRECOS12_IPCA15G12,2001-02-01T00:00:00-02:00,1,2,2001,0.5
2001-03-01,PRECOS12_IPCA15G12,2001-03-01T00:00:00-03:00,1,3,2001,0.36
2001-04-01,PRECOS12_IPCA15G12,2001-04-01T00:00:00-03:00,1,4,2001,0.5
2001-05-01,PRECOS12_IPCA15G12,2001-05-01T00:00:00-03:00,1,5,2001,0.49
2001-06-01,PRECOS12_IPCA15G12,2001-06-01T00:00:00-03:00,1,6,2001,0.38
2001-07-01,PRECOS12_IPCA15G12,2001-07-01T00:00:00-03:00,1,7,2001,0.94
2001-08-01,PRECOS12_IPCA15G12,2001-08-01T00:00:00-03:00,1,8,2001,1.18
2001-09-01,PRECOS12_IPCA15G12,2001-09-01T00:00:00-03:00,1,9,2001,0.38
2001-10-01,PRECOS12_IPCA15G12,2001-10-01T00:00:00-03:00,1,10,2001,0.37
2001-11-01,PRECOS12_IPCA15G12,2001-11-01T00:00:00-03:00,1,11,2001,0.99
2001-12-01,PRECOS12_IPCA15G12,2001-12-01T00:00:00-02:00,1,12,2001,0.55
2002-01-01,PRECOS12_IPCA15G12,2002-01-01T00:00:00-02:00,1,1,2002,0.62
2002-02-01,PRECOS12_IPCA15G12,2002-02-01T00:00:00-02:00,1,2,2002,0.44
2002-03-01,PRECOS12_IPCA15G12,2002-03-01T00:00:00-03:00,1,3,2002,0.4
2002-04-01,PRECOS12_IPCA15G12,2002-04-01T00:00:00-03:00,1,4,2002,0.78
2002-05-01,PRECOS12_IPCA15G12,2002-05-01T00:00:00-03:00,1,5,2002,0.42
2002-06-01,PRECOS12_IPCA15G12,2002-06-01T00:00:00-03:00,1,6,2002,0.33
2002-07-01,PRECOS12_IPCA15G12,2002-07-01T00:00:00-03:00,1,7,2002,0.77
2002-08-01,PRECOS12_IPCA15G12,2002-08-01T00:00:00-03:00,1,8,2002,1.0
2002-09-01,PRECOS12_IPCA15G12,2002-09-01T00:00:00-03:00,1,9,2002,0.62
2002-10-01,PRECOS12_IPCA15G12,2002-10-01T00:00:00-03:00,1,10,2002,0.9
2002-11-01,PRECOS12_IPCA15G12,2002-11-01T00:00:00-03:00,1,11,2002,2.08
2002-12-01,PRECOS12_IPCA15G12,2002-12-01T00:00:00-02:00,1,12,2002,3.05
2003-01-01,PRECOS12_IPCA15G12,2003-01-01T00:00:00-02:00,1,1,2003,1.98
2003-02-01,PRECOS12_IPCA15G12,2003-02-01T00:00:00-02:00,1,2,2003,2.19
2003-03-01,PRECOS12_IPCA15G12,2003-03-01T00:00:00-03:00,1,3,2003,1.14
2003-04-01,PRECOS12_IPCA15G12,2003-04-01T00:00:00-03:00,1,4,2003,1.14
2003-05-01,PRECOS12_IPCA15G12,2003-05-01T00:00:00-03:00,1,5,2003,0.85
2003-06-01,PRECOS12_IPCA15G12,2003-06-01T00:00:00-03:00,1,6,2003,0.22
2003-07-01,PRECOS12_IPCA15G12,2003-07-01T00:00:00-03:00,1,7,2003,-0.18
2003-08-01,PRECOS12_IPCA15G12,2003-08-01T00:00:00-03:00,1,8,2003,0.27
2003-09-01,PRECOS12_IPCA15G12,2003-09-01T00:00:00-03:00,1,9,2003,0.57
2003-10-01,PRECOS12_IPCA15G12,2003-10-01T00:00:00-03:00,1,10,2003,0.66
2003-11-01,PRECOS12_IPCA15G12,2003-11-01T00:00:00-03:00,1,11,2003,0.17
2003-12-01,PRECOS12_IPCA15G12,2003-12-01T00:00:00-02:00,1,12,2003,0.46
2004-01-01,PRECOS12_IPCA15G12,2004-01-01T00:00:00-02:00,1,1,2004,0.68
2004-02-01,PRECOS12_IPCA15G12,2004-02-01T00:00:00-02:00,1,2,2004,0.9
2004-03-01,PRECOS12_IPCA15G12,2004-03-01T00:00:00-03:00,1,3,2004,0.4
2004-04-01,PRECOS12_IPCA15G12,2004-04-01T00:00:00-03:00,1,4,2004,0.21
2004-05-01,PRECOS12_IPCA15G12,2004-05-01T00:00:00-03:00,1,5,2004,0.54
2004-06-01,PRECOS12_IPCA15G12,2004-06-01T00:00:00-03:00,1,6,2004,0.56
2004-07-01,PRECOS12_IPCA15G12,2004-07-01T00:00:00-03:00,1,7,2004,0.93
2004-08-01,PRECOS12_IPCA15G12,2004-08-01T00:00:00-03:00,1,8,2004,0.79
2004-09-01,PRECOS12_IPCA15G12,2004-09-01T00:00:00-03:00,1,9,2004,0.49
2004-10-01,PRECOS12_IPCA15G12,2004-10-01T00:00:00-03:00,1,10,2004,0.32
2004-11-01,PRECOS12_IPCA15G12,2004-11-01T00:00:00-03:00,1,11,2004,0.63
2004-12-01,PRECOS12_IPCA15G12,2004-12-01T00:00:00-02:00,1,12,2004,0.84
2005-01-01,PRECOS12_IPCA15G12,2005-01-01T00:00:00-02:00,1,1,2005,0.68
2005-02-01,PRECOS12_IPCA15G12,2005-02-01T00:00:00-02:00,1,2,2005,0.74
2005-03-01,PRECOS12_IPCA15G12,2005-03-01T00:00:00-03:00,1,3,2005,0.35
2005-04-01,PRECOS12_IPCA15G12,2005-04-01T00:00:00-03:00,1,4,2005,0.74
2005-05-01,PRECOS12_IPCA15G12,2005-05-01T00:00:00-03:00,1,5,2005,0.83
2005-06-01,PRECOS12_IPCA15G12,2005-06-01T00:00:00-03:00,1,6,2005,0.12
2005-07-01,PRECOS12_IPCA15G12,2005-07-01T00:00:00-03:00,1,7,2005,0.11
2005-08-01,PRECOS12_IPCA15G12,2005-08-01T00:00:00-03:00,1,8,2005,0.28
2005-09-01,PRECOS12_IPCA15G12,2005-09-01T00:00:00-03:00,1,9,2005,0.16
2005-10-01,PRECOS12_IPCA15G12,2005-10-01T00:00:00-03:00,1,10,2005,0.56
2005-11-01,PRECOS12_IPCA15G12,2005-11-01T00:00:00-02:00,1,11,2005,0.78
