DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE ((% a.a.))
1974-01-01,PAN12_TJOVER12,1974-01-01T00:00:00-02:00,1,1,1974,18.9976255788459
1974-02-01,PAN12_TJOVER12,1974-02-01T00:00:00-02:00,1,2,1974,14.7071911538915
1974-03-01,PAN12_TJOVER12,1974-03-01T00:00:00-03:00,1,3,1974,14.8433488405669
1974-04-01,PAN12_TJOVER12,1974-04-01T00:00:00-03:00,1,4,1974,15.5263622539225
1974-05-01,PAN12_TJOVER12,1974-05-01T00:00:00-03:00,1,5,1974,15.9379555717734
1974-06-01,PAN12_TJOVER12,1974-06-01T00:00:00-03:00,1,6,1974,19.703247639496
1974-07-01,PAN12_TJOVER12,1974-07-01T00:00:00-03:00,1,7,1974,21.2691369789704
1974-08-01,PAN12_TJOVER12,1974-08-01T00:00:00-03:00,1,8,1974,12.682503013197
1974-09-01,PAN12_TJOVER12,1974-09-01T00:00:00-03:00,1,9,1974,17.8765571045929
1974-10-01,PAN12_TJOVER12,1974-10-01T00:00:00-03:00,1,10,1974,14.2996054499739
1974-11-01,PAN12_TJOVER12,1974-11-01T00:00:00-03:00,1,11,1974,18.9976255788459
1974-12-01,PAN12_TJOVER12,1974-12-01T00:00:00-02:00,1,12,1974,22.853782957617
1975-01-01,PAN12_TJOVER12,1975-01-01T00:00:00-02:00,1,1,1975,23.7261138843658
1975-02-01,PAN12_TJOVER12,1975-02-01T00:00:00-02:00,1,2,1975,20.9830406509082
1975-03-01,PAN12_TJOVER12,1975-03-01T00:00:00-03:00,1,3,1975,13.0848004136224
1975-04-01,PAN12_TJOVER12,1975-04-01T00:00:00-03:00,1,4,1975,15.2527113059203
1975-05-01,PAN12_TJOVER12,1975-05-01T00:00:00-03:00,1,5,1975,18.9976255788459
1975-06-01,PAN12_TJOVER12,1975-06-01T00:00:00-03:00,1,6,1975,23.2892411958175
1975-07-01,PAN12_TJOVER12,1975-07-01T00:00:00-03:00,1,7,1975,21.6994444443924
1975-08-01,PAN12_TJOVER12,1975-08-01T00:00:00-03:00,1,8,1975,20.9830406509082
1975-09-01,PAN12_TJOVER12,1975-09-01T00:00:00-03:00,1,9,1975,20.555056084022
1975-10-01,PAN12_TJOVER12,1975-10-01T00:00:00-03:00,1,10,1975,26.0801629291282
1975-11-01,PAN12_TJOVER12,1975-11-01T00:00:00-03:00,1,11,1975,32.146043272604
1975-12-01,PAN12_TJOVER12,1975-12-01T00:00:00-02:00,1,12,1975,26.6750549665927
1976-01-01,PAN12_TJOVER12,1976-01-01T00:00:00-02:00,1,1,1976,32.3010608530128
1976-02-01,PAN12_TJOVER12,1976-02-01T00:00:00-02:00,1,2,1976,35.7539067851606
1976-03-01,PAN12_TJOVER12,1976-03-01T00:00:00-03:00,1,3,1976,34.9619947339711
1976-04-01,PAN12_TJOVER12,1976-04-01T00:00:00-03:00,1,4,1976,42.9086598372564
1976-05-01,PAN12_TJOVER12,1976-05-01T00:00:00-03:00,1,5,1976,35.9127994159185
1976-06-01,PAN12_TJOVER12,1976-06-01T00:00:00-03:00,1,6,1976,36.3905007374417
1976-07-01,PAN12_TJOVER12,1976-07-01T00:00:00-03:00,1,7,1976,48.6722820897105
1976-08-01,PAN12_TJOVER12,1976-08-01T00:00:00-03:00,1,8,1976,39.2891781473855
1976-09-01,PAN12_TJOVER12,1976-09-01T00:00:00-03:00,1,9,1976,48.1552865050767
1976-10-01,PAN12_TJOVER12,1976-10-01T00:00:00-03:00,1,10,1976,45.7643597687843
1976-11-01,PAN12_TJOVER12,1976-11-01T00:00:00-03:00,1,11,1976,42.0785620029589
1976-12-01,PAN12_TJOVER12,1976-12-01T00:00:00-02:00,1,12,1976,53.2226804054052
1977-01-01,PAN12_TJOVER12,1977-01-01T00:00:00-02:00,1,1,1977,50.2332076483484
1977-02-01,PAN12_TJOVER12,1977-02-01T00:00:00-02:00,1,2,1977,47.1262359655801
1977-03-01,PAN12_TJOVER12,1977-03-01T00:00:00-03:00,1,3,1977,44.9190654976786
