DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE (US$)
1957-01-01,IFS12_PETROLEUM12,1957-01-01T00:00:00-02:00,1,1,1957,1.92
1957-02-01,IFS12_PETROLEUM12,1957-02-01T00:00:00-02:00,1,2,1957,1.92
1957-03-01,IFS12_PETROLEUM12,1957-03-01T00:00:00-03:00,1,3,1957,1.92
1957-04-01,IFS12_PETROLEUM12,1957-04-01T00:00:00-03:00,1,4,1957,1.92
1957-05-01,IFS12_PETROLEUM12,1957-05-01T00:00:00-03:00,1,5,1957,1.92
1957-06-01,IFS12_PETROLEUM12,1957-06-01T00:00:00-03:00,1,6,1957,2.07
1957-07-01,IFS12_PETROLEUM12,1957-07-01T00:00:00-03:00,1,7,1957,2.07
1957-08-01,IFS12_PETROLEUM12,1957-08-01T00:00:00-03:00,1,8,1957,2.07
1957-09-01,IFS12_PETROLEUM12,1957-09-01T00:00:00-03:00,1,9,1957,2.07
1957-10-01,IFS12_PETROLEUM12,1957-10-01T00:00:00-03:00,1,10,1957,2.07
1957-11-01,IFS12_PETROLEUM12,1957-11-01T00:00:00-03:00,1,11,1957,2.07
1957-12-01,IFS12_PETROLEUM12,1957-12-01T00:00:00-02:00,1,12,1957,2.07
1958-01-01,IFS12_PETROLEUM12,1958-01-01T00:00:00-02:00,1,1,1958,2.07
1958-02-01,IFS12_PETROLEUM12,1958-02-01T00:00:00-02:00,1,2,1958,2.07
1958-03-01,IFS12_PETROLEUM12,1958-03-01T00:00:00-03:00,1,3,1958,2.07
1958-04-01,IFS12_PETROLEUM12,1958-04-01T00:00:00-03:00,1,4,1958,2.07
1958-05-01,IFS12_PETROLEUM12,1958-05-01T00:00:00-03:00,1,5,1958,2.07
1958-06-01,IFS12_PETROLEUM12,1958-06-01T00:00:00-03:00,1,6,1958,2.07
1958-07-01,IFS12_PETROLEUM12,1958-07-01T00:00:00-03:00,1,7,1958,2.07
1958-08-01,IFS12_PETROLEUM12,1958-08-01T00:00:00-03:00,1,8,1958,2.07
1958-09-01,IFS12_PETROLEUM12,1958-09-01T00:00:00-03:00,1,9,1958,2.07
1958-10-01,IFS12_PETROLEUM12,1958-10-01T00:00:00-03:00,1,10,1958,2.07
1958-11-01,IFS12_PETROLEUM12,1958-11-01T00:00:00-03:00,1,11,1958,2.07
1958-12-01,IFS12_PETROLEUM12,1958-12-01T00:00:00-02:00,1,12,1958,2.07
1959-01-01,IFS12_PETROLEUM12,1959-01-01T00:00:00-02:00,1,1,1959,2.07
1959-02-01,IFS12_PETROLEUM12,1959-02-01T00:00:00-02:00,1,2,1959,1.89
1959-03-01,IFS12_PETROLEUM12,1959-03-01T00:00:00-03:00,1,3,1959,1.89
1959-04-01,IFS12_PETROLEUM12,1959-04-01T00:00:00-03:00,1,4,1959,1.89
1959-05-01,IFS12_PETROLEUM12,1959-05-01T00:00:00-03:00,1,5,1959,1.89
1959-06-01,IFS12_PETROLEUM12,1959-06-01T00:00:00-03:00,1,6,1959,1.89
1959-07-01,IFS12_PETROLEUM12,1959-07-01T00:00:00-03:00,1,7,1959,1.89
1959-08-01,IFS12_PETROLEUM12,1959-08-01T00:00:00-03:00,1,8,1959,1.89
1959-09-01,IFS12_PETROLEUM12,1959-09-01T00:00:00-03:00,1,9,1959,1.89
1959-10-01,IFS12_PETROLEUM12,1959-10-01T00:00:00-03:00,1,10,1959,1.89
1959-11-01,IFS12_PETROLEUM12,1959-11-01T00:00:00-03:00,1,11,1959,1.89
1959-12-01,IFS12_PETROLEUM12,1959-12-01T00:00:00-02:00,1,12,1959,1.89
1960-01-01,IFS12_PETROLEUM12,1960-01-01T00:00:00-02:00,1,1,1960,1.89
1960-02-01,IFS12_PETROLEUM12,1960-02-01T00:00:00-02:00,1,2,1960,1.89
1960-03-01,IFS12_PETROLEUM12,1960-03-01T00:00:00-03:00,1,3,1960,1.89
1960-04-01,IFS12_PETROLEUM12,1960-04-01T00:00:00-03:00,1,4,1960,1.89
1960-05-01,IFS12_PETROLEUM12,1960-05-01T00:00:00-03:00,1,5,1960,1.89
1960-06-01,IFS12_PETROLEUM12,1960-06-01T00:00:00-03:00,1,6,1960,1.89
1960-07-01,IFS12_PETROLEUM12,1960-07-01T00:00:00-03:00,1,7,1960,1.89
1960-08-01,IFS12_PETROLEUM12,1960-08-01T00:00:00-03:00,1,8,1960,1.79
1960-09-01,IFS12_PETROLEUM12,1960-09-01T00:00:00-03:00,1,9,1960,1.79
1960-10-01,IFS12_PETROLEUM12,1960-10-01T00:00:00-03:00,1,10,1960,1.79
1960-11-01,IFS12_PETROLEUM12,1960-11-01T00:00:00-03:00,1,11,1960,1.79
1960-12-01,IFS12_PETROLEUM12,1960-12-01T00:00:00-02:00,1,12,1960,1.79
1961-01-01,IFS12_PETROLEUM12,1961-01-01T00:00:00-02:00,1,1,1961,1.79
1961-02-01,IFS12_PETROLEUM12,1961-02-01T00:00:00-02:00,1,2,1961,1.79
1961-03-01,IFS12_PETROLEUM12,1961-03-01T00:00:00-03:00,1,3,1961,1.79
1961-04-01,IFS12_PETROLEUM12,1961-04-01T00:00:00-03:00,1,4,1961,1.79
1961-05-01,IFS12_PETROLEUM12,1961-05-01T00:00:00-03:00,1,5,1961,1.79
1961-06-01,IFS12_PETROLEUM12,1961-06-01T00:00:00-03:00,1,6,1961,1.79
1961-07-01,IFS12_PETROLEUM12,1961-07-01T00:00:00-03:00,1,7,1961,1.79
1961-08-01,IFS12_PETROLEUM12,1961-08-01T00:00:00-03:00,1,8,1961,1.79
