DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE (R$)
1986-01-01,BM12_FCAFIN12,1986-01-01T00:00:00-02:00,1,1,1986,-7.49090909090909e-08
1986-02-01,BM12_FCAFIN12,1986-02-01T00:00:00-02:00,1,2,1986,3.2e-08
1986-03-01,BM12_FCAFIN12,1986-03-01T00:00:00-03:00,1,3,1986,5.55636363636364e-07
1986-04-01,BM12_FCAFIN12,1986-04-01T00:00:00-03:00,1,4,1986,-5.40727272727273e-07
1986-05-01,BM12_FCAFIN12,1986-05-01T00:00:00-03:00,1,5,1986,1.80363636363636e-07
1986-06-01,BM12_FCAFIN12,1986-06-01T00:00:00-03:00,1,6,1986,2.22909090909091e-07
1986-07-01,BM12_FCAFIN12,1986-07-01T00:00:00-03:00,1,7,1986,9.37090909090909e-07
1986-08-01,BM12_FCAFIN12,1986-08-01T00:00:00-03:00,1,8,1986,-3.48363636363636e-07
1986-09-01,BM12_FCAFIN12,1986-09-01T00:00:00-03:00,1,9,1986,-8.57818181818182e-07
1986-10-01,BM12_FCAFIN12,1986-10-01T00:00:00-03:00,1,10,1986,6.50909090909091e-08
1986-11-01,BM12_FCAFIN12,1986-11-01T00:00:00-03:00,1,11,1986,5.56363636363636e-08
1986-12-01,BM12_FCAFIN12,1986-12-01T00:00:00-02:00,1,12,1986,1.42145454545455e-06
1987-01-01,BM12_FCAFIN12,1987-01-01T00:00:00-02:00,1,1,1987,3.44e-07
1987-02-01,BM12_FCAFIN12,1987-02-01T00:00:00-02:00,1,2,1987,-3.18109090909091e-06
1987-03-01,BM12_FCAFIN12,1987-03-01T00:00:00-03:00,1,3,1987,1.17069090909091e-05
1987-04-01,BM12_FCAFIN12,1987-04-01T00:00:00-03:00,1,4,1987,7.07381818181818e-06
1987-05-01,BM12_FCAFIN12,1987-05-01T00:00:00-03:00,1,5,1987,-1.54327272727273e-06
1987-06-01,BM12_FCAFIN12,1987-06-01T00:00:00-03:00,1,6,1987,-7.12145454545455e-06
1987-07-01,BM12_FCAFIN12,1987-07-01T00:00:00-03:00,1,7,1987,-5.32654545454545e-06
1987-08-01,BM12_FCAFIN12,1987-08-01T00:00:00-03:00,1,8,1987,4.36109090909091e-06
1987-09-01,BM12_FCAFIN12,1987-09-01T00:00:00-03:00,1,9,1987,1.04036363636364e-06
1987-10-01,BM12_FCAFIN12,1987-10-01T00:00:00-03:00,1,10,1987,2.35236363636364e-06
1987-11-01,BM12_FCAFIN12,1987-11-01T00:00:00-03:00,1,11,1987,-8.02545454545455e-07
1987-12-01,BM12_FCAFIN12,1987-12-01T00:00:00-02:00,1,12,1987,-3.43636363636364e-06
1988-01-01,BM12_FCAFIN12,1988-01-01T00:00:00-02:00,1,1,1988,2.13345454545455e-06
1988-02-01,BM12_FCAFIN12,1988-02-01T00:00:00-02:00,1,2,1988,-1.98290909090909e-06
1988-03-01,BM12_FCAFIN12,1988-03-01T00:00:00-03:00,1,3,1988,-5.86181818181818e-07
1988-04-01,BM12_FCAFIN12,1988-04-01T00:00:00-03:00,1,4,1988,-8.37090909090909e-07
1988-05-01,BM12_FCAFIN12,1988-05-01T00:00:00-03:00,1,5,1988,-1.75454545454545e-06
1988-06-01,BM12_FCAFIN12,1988-06-01T00:00:00-03:00,1,6,1988,-1.61454545454545e-06
1988-07-01,BM12_FCAFIN12,1988-07-01T00:00:00-03:00,1,7,1988,-1.86436363636364e-06
1988-08-01,BM12_FCAFIN12,1988-08-01T00:00:00-03:00,1,8,1988,-4.53127272727273e-06
1988-09-01,BM12_FCAFIN12,1988-09-01T00:00:00-03:00,1,9,1988,-3.42036363636364e-06
1988-10-01,BM12_FCAFIN12,1988-10-01T00:00:00-03:00,1,10,1988,-4.81163636363636e-06
1988-11-01,BM12_FCAFIN12,1988-11-01T00:00:00-03:00,1,11,1988,-8.30363636363636e-06
1988-12-01,BM12_FCAFIN12,1988-12-01T00:00:00-02:00,1,12,1988,-1.2056e-05
1989-01-01,BM12_FCAFIN12,1989-01-01T00:00:00-02:00,1,1,1989,4e-09
1989-02-01,BM12_FCAFIN12,1989-02-01T00:00:00-02:00,1,2,1989,0.000142181818181818
1989-03-01,BM12_FCAFIN12,1989-03-01T00:00:00-03:00,1,3,1989,9.34545454545455e-05
1989-04-01,BM12_FCAFIN12,1989-04-01T00:00:00-03:00,1,4,1989,-5.09090909090909e-06
1989-05-01,BM12_FCAFIN12,1989-05-01T00:00:00-03:00,1,5,1989,-1.56363636363636e-05
1989-06-01,BM12_FCAFIN12,1989-06-01T00:00:00-03:00,1,6,1989,-6.54545454545455e-06
1989-07-01,BM12_FCAFIN12,1989-07-01T00:00:00-03:00,1,7,1989,-1.92727272727273e-05
1989-08-01,BM12_FCAFIN12,1989-08-01T00:00:00-03:00,1,8,1989,1.67272727272727e-05
1989-09-01,BM12_FCAFIN12,1989-09-01T00:00:00-03:00,1,9,1989,-4.58181818181818e-05
1989-10-01,BM12_FCAFIN12,1989-10-01T00:00:00-03:00,1,10,1989,3.63636363636364e-06
